Шифра,Опис,Цена
000599,ОРБИТ БАБЛМИНТ БЛУБЕРИ,50.00
000600,ОРБИТ ГРИНМИНТ,50.00
000601,ОРБИТ ЛУБЕНИЦА ДРАЖЕИ,50.00
000603,ЛЕНОР 930 СПРИНГ АВЕЈК,120.00
000604,ЕРВЕЈС ЕКСТИМ ДРАЖЕИ,50.00
000605,ЕРВЕЈС КАСИС РИБИЗЛА,40.00
000606,ЕРВЕЈЗ МЕНТОЛ АИР ДРАЖЕИ,50.00
000607,ОРБИТ ПЕПЕРМИНТ ДРАЖЕИ,50.00
000608,ОРБИТ ПЕПЕРМИНТ ТУБА,99.00
000609,ОРБИТ СПЕАРМИНТ,50.00
000610,ОРБИТ ВАЈТ СПЕАРМИНТ,50.00
000611,ОРБИТ ВИНТЕРФРЕШ ДРАЖЕИ,50.00
000612,МАРС 47ГР,65.00
000613,СНИКЕРС 50ГР,65.00
000614,ЕРВЕЈЗ КАСИС,50.00
000615,АР МЕНТОПЛУС БОНБ ЈАГОДА,15.00
000616,АР МЕНТОЛПЛУС БОНБ.ШЕРИ,15.00
000617,МЕНТОЛ ПЛУС БОНБ ЕКСТРА,15.00
000618,АР МЕНТОПЛУС МЕНТА ЗЕЛЕН,15.00
000620,АР МЕНТОПЛУС БОНБ СТРОНГ,15.00
000621,АР МЕНТОПЛУС ЛИМОН,15.00
000622,ЛИЖАВЧЕ ЦРВЕНА КЕСА,15.00
000623,ЛИЖАВЧЕ ТУТИ ФРУТИ,15.00
000624,ЛИЖАВЧЕ СИНО,15.00
000625,ЛИЖАВЧЕ ТЕМЕН МИКС,15.00
000626,ВИВА СПАРК ЦРВЕН ГРЕЈПФРУТ,45.00
000627,ВИВА СПАРК ЛИМОН И ГРЕЈП.,45.00
000628,ВИВА СПАРК ПОРТОКАЛ,45.00
000629,"ВИВА ФРЕШ 0,5 АЦЕ",45.00
000630,"ВИВА ФРЕШ 0,5 ШУМСКО",45.00
000632,"ВИВА ФРЕШ 0,5 ПОРТОКАЛ",45.00
000633,"ВИВА ЛЕДЕН ЧАЈ 1,5 БРУСНИЦА",69.00
000634,"ВИВА ЛАДЕН ЧАЈ ЛИМОН 1,5",69.00
000635,"ВИВА ЛАДЕН ЧАЈ ПРАСКА 1,5",69.00
000636,"ВИВА ЛАДЕН ЧАЈ ПРАСКА 0,5",45.00
000637,"ВИВА ЛАДЕН ЧАЈ ЛИМОН 0,5",45.00
000638,"ВИВА ЛАДЕН ЧАЈ 0,5 БРУСНИЦА",45.00
000641,"ВИВА ФРЕШ 1,5 АЦЕ",85.00
000642,ВИВА 1 ЛИТАР АЦЕ ТЕТРА,85.00
000644,ВИВА ФРЕШ 1Л ПОРТОКАЛ 100%,99.00
000645,ВИВА 1Л ПРАСКА ТЕТРА,85.00
000646,ВИВА 1Л КАПИНА ЈАБОЛКО,106.00
000647,"БРАВО 1,5 ПРАСКА",99.00
000648,"БРАВО 1,5 МУЛТИ",99.00
000649,"БРАВО 1,5 ЗЕЛЕНО ЈАБОЛКО",99.00
000650,"БРАВО 0,5 АНАНАС",50.00
000651,"БРАВО 0,5 МУЛТИ",50.00
000652,"БРАВО 0,5 САНИ ОРАНЖ",50.00
000653,ЧИПС ЧАЧАК 150ГР КЕЧАП,80.00
000654,ЧИПС ЧАЧАК 150ГР ПИПЕРКА,80.00
000656,ЧИПС ЧАЧАК 150ГР ЧИЛИ,80.00
000657,ЧИПС ЧАЧАК 40ГР КЛАСИК,25.00
000658,ЧИПС ЧАЧАК 90ГР РЕБРАСТ,49.00
000659,ЧИПС ЧАЧАК 90ГР КЛАСИК,49.00
000662,БЕЈК РОЛС 80ГР ПИЦА,55.00
000663,КРОАСАН 65 ГР КАКО МИНИ,60.00
5,Х,75
000671,РИПЛЕЈ ЧИПС 75ГР,45.00
000672,РИПЛЕЈ ЧИПС КЕЧАП 75ГР,45.00
000673,РИПЛЕЈ ЧИПС СИРЕЊЕ 75,45.00
000674,ЧИПС ЧАЧАК 150ГР КЛАСИК,80.00
000675,ЧИПС ЧАЧАК 20 КЛАСИК,15.00
000676,ЧИПС ЧАЧАК РЕБРАСТ 250,120.00
000677,СТИЗА ЧИПС КЛАСИК 80ГР,45.00
000678,КРОАСАН 80ГР ЛЕШНИК КУКИС,55.00
000679,КРОАСАН 80ГР ВАНИЛА КУКИС,55.00
000680,КРОАСАН 40ГР МИДИ,40.00
000683,КРОАСАН 185ГР КАКАО,135.00
000685,КРОАСАН 80ГР МАКС КАКАО,55.00
000686,БЕЈК РОЛС 80ГР СОЛ,55.00
000688,РИПЛЕЈ ЧИПС 75ГР ОРИГАНО,45.00
000690,РИПЛЕЈ ЧИПС 125 ПИПЕРКА,70.00
000691,РИПЛЕЈ ЧИПС 125 ГР,70.00
000692,ПИЦА ИТАЛИАНА 30ГР,35.00
000693,ЈЕС ФЛИПС КИКИРИТКА 40ГР,30.00
000694,СТИЗА ЧИПС КЕЧАП 150 ГР,85.00
000695,МОЛИВ,20.00
000696,РОДЕО МОМЕНТ ВАНИЛА,95.00
000697,РОДЕО МОМЕНТ ЧОКОЛАДО,95.00
000698,РОДЕО МОМЕНТ КРЕМ КУКИ,70.00
000699,РОДЕО МОМЕНТ НУКРЕМА,85.00
000700,РОДЕО МОМЕНТ КОНЕ КАРА,60.00
000701,РОДЕО МАСТЕР СТИК КАРАМЕЛ,95.00
000702,РОДЕО ГРАНД КУКИС,90.00
000703,РОДЕО ГРАНД ЧОКО ВАНИЛА,100.00
000704,РОДЕО ГРАНД ЈАГОДА,90.00
000705,ТАЈМОУТ СЕНДВИЧ,75.00
000706,РОЈАЛ ВАНИЛА ЧАШКА,60.00
000707,ХАЈ ФАЈ,65.00
000708,ХАЈ ФАЈ ВАНИЛА КАКАО,65.00
000709,ХАЈ ФАЈ ЈАГОДА,65.00
000710,МАСТЕР КОЛАЧИ КУКИС,95.00
000711,МАСТЕР СОЛЕНА КАРАМЕЛА,95.00
000712,МАСТЕР РУБИ СТАПЧЕ,95.00
000713,МАСТЕР ЧОКО,95.00
000714,МАСТЕР 0% ШЕКЕР,100.00
000715,ФУДБАЛ КУП (ТОПЧЕ),75.00
000716,МЕТРОПОЛИ БЕРЛИН,80.00
000717,МЕТРОПОЛИ ЛОНДОН,80.00
000718,МЕТРОПОЛИ БРИСЕЛ,80.00
000719,МЕТРОПОЛИ РИО,75.00
000720,ТОРНА. ЧОКОВАНИЛА,110.00
000721,ИМПЕРИЈАЛ ЈАГОДА,60.00
000723,ИМПЕРИЈАЛ ВАНИЛА,70.00
000724,ИМПЕРИЈАЛ ШУМСКО ОВОШЈЕ,70.00
000726,МЕТРОПОЛИ КОНО БРИСЕЛ,110.00
000727,СНИКЕРС ЕКСТРА БАР,120.00
000728,СНИКЕРС ИЦ СТИК,135.00
000729,ТВИКС ИКС - БАР,90.00
000730,РОМАНСА ВАНИЛА,40.00
000731,СЕНДВИЧ СЛАДОЛЕД,70.00
000732,ТРОПИКО ПОРТОКАЛ,75.00
000733,ТРОПИКО ЈАГОДА,75.00
000734,МЕТРОПОЛИ ГОЛД МОНАКО,95.00
000735,МЕТРОПОЛИ ГОЛД ПАРИЗ,95.00
000737,ВАРИЈАГ ЧАШКА ЧОКОВАНИЛА,55.00
000738,РОЛЕР БЛЕКЏЕК,55.00
000739,РОЛЕР ЈАГОДА ВАНИЛА,55.00
000741,ЧОКОПЕЛИСТЕР,40.00
000742,НУТЕЛА 700ГР,375.00
000743,ШТАРК СМОКИ 90ГР,45.00
000745,ШТАРК СМОКИ ТОРТИЉА ЧИЛИ,55.00
000746,ШТАРК СМОКИ ТОРТИЉА 90ГР,60.00
000747,РОНДО БОНБОНИ 28ГР,35.00
000748,НАЈЛЕПШЕ ЖЕЉЕ 30 ГР КАКАО,45.00
000752,НАЈЛЕПШЕ ЖЕЉЕ 90ГР МЛЕЧНА,95.00
000753,РАФАЕЛО 40ГР,80.00
000754,РАФАЕЛО 230ГР,315.00
000755,НИВЕА СОФТ КРЕМ 50МЛ,155.00
000756,НАЈЛЕПШЕ ЖЕЉЕ 75ГР,85.00
000757,МИНАС Ц 100ГР,68.00
000758,МИНАС Ц 200ГР,120.00
000760,ГРАНД КАФЕ 2 ВО 1 16ГР,12.00
000761,КИНДЕР ЏОЈ ЈАЈЦЕ 20ГР,85.00
000762,ТИК ТАК МИНТ 18ГР,35.00
000763,ТИК ТАК 18ГР ОРАНЖ,35.00
000764,КАПУЧИНО ГОЛД КЛАСИК 100ГР,73.00
000765,КАПУЧИНО ГОЛД ЧОКОЛАДО,73.00
000766,КАПУЧИНО ГОЛД ИРСКИ КРЕМ,73.00
000767,ЦЕДЕВИТА ПУЦ ПУЦ Ш ОВОШЈЕ,25.00
000768,ЦЕДЕВИТА ПУЦ ПУЦ ЈАГОДА,19.00
000769,ЦЕДЕВИТА ПУЦ ПУЦ ТРОПИК,25.00
000770,НУТЕЛА КРЦКАВ ВАФЕЛ,170.00
000772,ТЕОНАТУРА 2 ВО 1 ШАМПОН,85.00
000773,ТЕОНАТУРА КОЛОР ПРОТЕКТ,80.00
000774,ТЕОНАТУРА ШАМПОН ЈАЈЦЕ,80.00
000775,НУТЕЛА КРЦКАВ ВАФЕЛ 100ГР,95.00
000776,"КОКТА 1,5Л КОЛИНСКА",85.00
000777,МИНАС КАФЕ 200ГР ЦРВЕНО,120.00
000778,МИНАС КАФЕ 100ГР ЦРВЕНО,65.00
000779,КИНДЕР БУЕНО БЕЛО 43ГР,65.00
000780,КИНДЕР БУЕНО 43ГР,65.00
000781,АРГЕТА 27ГР КОКОШКИНА,60.00
000782,АРГЕТА ЈУНИОР 45ГР ПАШТЕТА,40.00
000784,ЦЕДЕВИТА 340 ЛИМОН,90.00
000785,ЦЕДЕВИТА 340 ЛИМЕТА,90.00
000787,ШТАРК СМОКИ 225ГР,85.00
000788,ШТАРК СМОКИ 130ГР,60.00
000789,ШТАРК СМОКИ 40Г,30.00
000790,ШТАРК СМОКИ КЕЧАП 35ГР,15.00
000792,ЦЕДЕВИТА 455 ПОРТОКАЛ,206.00
000793,ЦЕДЕВИТА 455 ЛИМОН,206.00
000794,ЦЕДЕВИТА 200 ЛИМОН НОВ,130.00
000795,КИНДЕР ЧОКОЛАДО 100ГР,110.00
000796,ШТАРК ЛЕДЕНА БАНАНИЦА,20.00
000798,АРГЕТА 95Г ЈУНИОР КОКОКРЕМ,80.00
000799,АРГЕТА 95ГР ПАСТРМКА,80.00
000800,НАЈЛЕПШЕ ЖЕЉЕ 30ГР МЛЕЧНА,45.00
000801,АРГЕТА 95ГР ПОСНО,80.00
000802,НУТЕЛА 400ГР,285.00
000803,НУТЕРЛА 200ГР,165.00
000804,ШТАРК НАПОЛИТАНКА 180ГР,95.00
000805,ШТАРК ЧОКО КЕКСИЧИ 220ГР,80.00
000806,ЦЕДЕВИТА БОНБОНИ ОВОШЈЕ,40.00
000807,ЦЕДЕВИТА БОНБОНИ ЛИМОН,40.00
000808,ШТАРК НЕДА,95.00
000809,РОСА 0.75Л,60.00
000810,РОСА 1.5,55.00
000811,ФЈУЗ ПРАСКА РОЗА 0.5,65.00
000812,ФЈУЗ ПРАСКА РОЗА 1.5,120.00
000813,НЕКСТ ВИШНА 0.5,38.00
000814,НЕКСТ ВИШНА 1.5,98.00
000815,НЕКСТ ЛИМОНАДА БОЗЕЛ 0.5,40.00
000816,СТРОНГБОЈ ШУМСКО 0.33,85.00
000817,МОНСТЕР ЕНЕРЏИ МК ЛИМ,130.00
000818,СКОПСКО ПЕТ 1.5,145.00
000819,СКОПСКО СМУТ 1.35,145.00
000820,СМУТ ЛИМЕНКА 0.5,90.00
000821,СКОПСКО СМУТ ЛИМЕНКА 0.33,75.00
000822,ЛАШКО 1.35,115.00
000823,ХАЈНЕКЕН ЛИМ 0.5,98.00
000824,ХАЈНЕКЕН 0.33,80.00
000826,ХАЈНЕКЕН СЛИК ЛИМ 0.33,80.00
000827,БИРА МОРЕТИ ЛИМЕНКА 0.5,85.00
000828,КОКА КОЛА 0.45,65.00
000829,ФАНТА ОРАНЖ 0.45,65.00
000830,ШВЕПС БИТЕР 0.5,65.00
000831,ФАНТА ТРОПИКАЛ 0.45,65.00
000832,КОКА КОЛА 1.25,95.00
000833,ФАНТА ОРАНЖ 1.25,95.00
000834,ФАНТА ТРОПИКАЛ 1.25,95.00
000835,КОКА КОЛА ЗЕРО 1.25,95.00
000836,ШВЕПС БИТЕР ЛЕМОН 1Л,95.00
000837,ШВЕПС ТОНИК 1Л,95.00
000838,КОКА КОЛА ЛИМ 0.33,65.00
000839,КОКА КОЛА ЗЕРО ЛИМ 0.33,65.00
000840,ФАНТА ОРАНЖ 0.33,65.00
000841,СПРАЈТ ЛИМ 0.33,65.00
000842,ШВЕПС БИТЕР ЛИМЕН,65.00
000843,СКОПСКО 0.33 ЛИМ,75.00
000844,ПИВО ЛИМ 0.5,90.00
000845,АМСТЕЛ ПРЕМ ПИЛСЕНЕР 0.5,90.00
000846,РАДЛЕР 0.5,95.00
000847,КОКА КОЛА ЛИМ 0.25,55.00
000848,РОСА 0.5,45.00
000849,ХД ЧОКО АЛМОНДС,150.00
000850,чипс чачак 150гр,140.00
000851,штарк хот рингс микс 90гр,40.00
000852,штарк стапчиња,12.00
000853,нескафе софт 20г,46.00
000854,КЕСА СО РАЧКА 55Х28,20.00
000855,КЕСА СО РАЧКА 45*26,16.00
000856,АМБАЛАЖНИ КЕСИ,0.00
000857,"КОКА КОЛА ЗЕРО 0,45",65.00
000858,КОКА КОЛА ЛИМОН ЗЕРО ЛИМ.,60.00
000859,РИПЛЕЈ 125 ПИПЕРКА,70.00
000860,штрудла винчини 240 вишна,75.00
000861,твикс 2 х 25,65.00
000862,"браво праска 0,5",50.00
000863,МИЛКА 100ГР ОРЕО,110.00
000864,МИЛКА 270 НОИСЕТ,255.00
000865,МИЛКА 270 ЛЕШНИК,255.00
000866,МИЛКА 100 ЛЕШНИК ЦЕЛ,98.00
000867,МИЛКА НОИСЕТ 80,110.00
000868,МИЛКА ХАЗЕЛНУТ 80,65.00
000869,ЛОЗОВА РАКИЈА ЖОЛТА 1Л,990.00
000870,ЛОЗОВА 200,250.00
000871,ВОДКА ГРЕЈ ГУС 700,3700.00
000872,БАМБИ 150 ДИЕТ,85.00
000874,БАМБИ ЗА ДЕЦА СО ЧОК.,55.00
000875,ПЛАЗМА ПОСНА МЕЛЕНА 300,153.00
000876,ПЛАЗМА 150 ПОСНА,115.00
000879,ПЛАЗМА ПРЕЛИЕНА ЧОК,190.00
000880,МИНИ ПЛАЗМА 200ГР,95.00
000881,МИНИ ПЛАЗМА 30,15.00
000882,МИНИ ПЛАЗМА ЈАГОДА 170,110.00
000883,МИНИ ПЛАЗМА ЈАГОДА 50,35.00
000884,ПЛАЗМА ЧОКО 50,35.00
000885,ПЛАЗМА ЧОКО 170,105.00
000886,БАМБИ ЧОКО КУТИЈА,100.00
000887,ПЛАЗМА ЧОКО КУТИЈА,96.00
000888,БАМБИ СОЛЕНА,75.00
000889,БАМБИ СОЛЕНА МЕДИТЕРАН,75.00
000890,ПЛАЗМА СТИКСИ КИКИР,117.00
000891,ПЛАЗМА СТИКСИ ЛЕШНИК,117.00
000892,СТИКСИ ЧОКОЛАДО,117.00
000894,БАМБИ ВЕЛНЕС КОКОС 210,72.00
000895,БАМБИ ВЕЛНЕС ОБИЧЕН 210,72.00
000896,БАМБИ ВЕЛНЕС ЧОКО ПАРЧЕ,97.00
000897,БАМБИ ВЕЛНЕС ОРАНЖ 205,98.00
000898,ВЕЛНЕС СУВО ГРОЗЈЕ,75.00
000899,БАМБИ ВЕЛНЕС ЦРВЕНО ОВ.,89.00
000900,ТАКОВО 90 КРЕМ,30.00
000901,ВИЕНА ФИЛС ЧОКО 135,56.00
000902,ВИЕНА ФИЛС ЛЕШНИК 132,56.00
000905,НИВЕА САН СПРЕЈ Ф50,930.00
000907,НИВЕА КИДС СПРЕЈ,795.00
000909,НИВЕА САН ЛОСИОН 20Ф 200МЛ,710.00
000911,"МЛЕКО МОЈА КРАВИЦА 0,5",85.00
000912,ЧОКОЛАДНО МЛЕКО 250,55.00
000913,ДУРЕКС СЕНСИТИВ 3/1,160.00
000914,ДУРЕКС 3/1 КЛАСИК,160.00
000915,ДУРЕКС 3/А ПЛЕЖЕР МАКС,160.00
000918,МЕИН ВИРШЛИ ПИЛЕШКИ,55.00
000919,"ЛАДНА 1 / 1,5",50.00
000920,чипс чачак 40 кечап,25.00
000921,НЕСКАФЕ АМЕРИКАНО,100.00
000922,"ВОДА ЈАНА 0,5",30.00
000923,КРОАСАН 110 ГР СУПЕР МАКС,65.00
000924,квасец,20.00
000925,сијалица тесно грло,25.00
000926,75w сијалица,28.00
000927,КАШКАВАЛ ХЕПИ КАУ 150ГТ,90.00
000928,ХЕПИ КАУ 150ГР,90.00
000929,ХЕПИ КАУ ЧЕДАР,90.00
000930,"МОХИТО 0,33",140.00
000931,СЕКС ОН Д БИЧ,140.00
000932,БЛУ ЛАГУН,140.00
000933,"МАРГАРИТА 0,33",140.00
000934,"ПИНАКОЛАДА 0,33",140.00
000935,чачак ребраст,49.00
000936,ПОП КЕК КАКАО,25.00
000937,ПОП КЕК ЛИМОН,25.00
000938,ПОП КЕК БАНАНА,25.00
000939,ПОП КЕК КЕСА КАКАО,75.00
000940,ТУТКУ 54 ГР,25.00
000941,ТУТКУ 126ГР,75.00
000942,ПУФ КАКАО МАЛ,10.00
000943,ЦИН ПОРТОКАЛ,10.00
000944,ЦИН ЈАГОДА,10.00
000945,ПОП КЕК 200ГР,75.00
000946,ПОП КЕК ГРОЗЈЕ,75.00
000947,ПОП КЕК МОЗАИК,75.00
000948,ОЗМО ЧОКО ЈАЈЦЕ,50.00
000949,ТВИНГО,15.00
000950,ПАПИТА,15.00
000951,ДОВЕ СПОРТ,225.00
000952,ДОВЕ ДЕО КУЛ ФРЕШ,225.00
000953,ДОВЕ ДЕО ОРИГИНАЛ,225.00
000954,ЧЕТКА КОЛГЕЈТ,85.00
000955,КАРТИ 2/1,130.00
000956,КАРТИ ПИАТНИК ПЛАСТИКА,160.00
000957,НОКТАРИЦА,150.00
000958,КАБЕЛ УСБ ПОЛНАЧ,185.00
000959,ШТЕК ПОЛНАЧ,180.00
000960,БЕБЕ ВО КАДА,380.00
000961,ШМИНКИ ЈАГОТКА,350.00
000962,ШМИНКИ 907,260.00
000963,ДОКТОР СЕТ НЗМ 161,200.00
000964,ПИЦА СЕТ,220.00
000965,ВОЛАН МУЗИЧКИ,290.00
000966,ГАСЕНИЦИ ДОЛГИ,270.00
000967,ФРИЗЕРСКИ СЕТ,360.00
000968,НОКТИ СЕТ,250.00
000969,ДУШЕК НА ВОДА,650.00
000970,СТРЕС БАЛ ЈАГОДА,195.00
000971,ЦРВИ ДОЛГИ,20.00
000972,РОБОТ,580.00
000973,СТРЕС БАЛ ВЕРВЕРИЦИ,195.00
000974,СТРЕС БАЛ БУБАМАРА,195.00
000975,СТРЕС БАЛ ЛУБЕНИЦА,195.00
000976,СТРЕС БАЛ РИБА,120.00
000977,САПУНИЦИ,160.00
000978,ПУШКА МУЗИЧКА,350.00
000979,СТЕГАЧИ 6/1,75.00
000980,ЛАСТИЦИ ЗА КОСА,40.00
000981,ХУЛАХОПКИ,80.00
000982,БЕБЕ,380.00
000983,БАГЕР МУЗИЧКИ,580.00
000984,КУЈНА 3Х,350.00
000985,ФРОЗЕН КУФЕР,250.00
000986,КУКЛА СЛАДОЛЕД,300.00
000987,СААТ ДЕТСКИ СО СВЕТЛО,300.00
000988,КУКЛА 656,320.00
000989,ШМИНКИ ВО ПЛАСТИКА СРЦЕ,200.00
000990,ПИАНО УЈ,300.00
000991,ТОПЧЕ СУНГЕР МАЛО,60.00
000992,КЕПЧЕ МАЛО,150.00
000993,КЕПЧЕ МЦ ПОГОЛЕМО,350.00
000994,ПИШТОЛ НА ВОДА 1118,300.00
000995,ПИШТОЛ НА ВОДА ГОЛЕМ Ц25,250.00
000996,ПУШКА НА ВОДА 1142,480.00
000997,БАГЕР КАМИОН 399-1,250.00
000998,КОЛА КАРС,190.00
000999,ВЕТЕРНИЦИ ГОЛЕМИ,180.00
001000,ТРКАЛО СЛОН,350.00
001001,ФОРМУЛА ТРКАЛО,350.00
001002,МЕЧ МУЗИЧКИ,250.00
001003,КАМИОН ИМГ 128,550.00
001004,БАГЕР ИМГ,230.00
001005,ТРАКТОР КС 760,260.00
001006,АЛАТ СЕТ,400.00
001007,КАМИОН СО БАГЕРИ,270.00
001008,КОЛА ЦЛК 197,270.00
001009,СЛАЈМ МАЛ,160.00
001010,СЛАЈМ,185.00
001011,СЛАЈМ ГОЛЕМ МЕЧКА,200.00
001012,ПУШКА НА БАТЕРИИ,350.00
001013,ТОПКА ОДБОЈКА АЛ,400.00
001014,РАКОМЕТ ДИНОСАУРУС-МАЛА,250.00
001015,ТОПКА ОДБОЈКА КОЖНА,450.00
001016,ТОПКИ АЛ2150,165.00
001017,ТОПКА ФУДБАЛ КОЖНА,400.00
001018,МАСКА ЗА НУРКАЊЕ СО ЦРЕВО,600.00
001019,МАСКА ЗА НУРКАЊЕ,280.00
001020,НАОЧАРИ СО ФУТРОЛА,600.00
001021,НАОЧАРИ ЗА ПЛИВАЊЕ,0.00
001022,КАПИ ДЕТСКИ,240.00
001023,ШЕШИР МАШКИ,220.00
001024,ШЕШИР ЖЕНСКИ,220.00
001026,КОФА ЛОПАТКИ,0.00
001027,ОЦБ СЛИМ ПРЕМИУМ ФИЛТЕР,80.00
001028,ОЦБ СЛИМВИРГИН,80.00
001029,ОЦБ ПРЕМИУМ,75.00
001030,ОЦБ ЗЕЛЕНА,30.00
001031,ОЦБ СИНА,30.00
001032,ОЦБ КРАФТ,50.00
001033,ОЦБ УЛТРАС СЛИМ ФИЛТЕР,80.00
001034,ОЦБ СЛИМ,80.00
001035,СЛИМ ЛОНГ,85.00
001036,ЗАПАЛКИ ЏИП,110.00
001037,ЗАПАЛКИ ЗЕНГА,150.00
001038,ВООМ ВАЈП ВКУСОВИ,690.00
001039,"фанта 1,75",85.00
001040,фстак сушен,80.00
001041,ТРОКО ФРЕШ СОК 290МЛ,130.00
001042,ФМ ДАБЛ ВКУС НАРГИЛЕ,850.00
001043,ТРОКАДЕРО ВКУСОВИ,580.00
001044,"ПРОЛОМ ВОДА 1,5",70.00
001045,"ПРОЛОМ 0,5",30.00
001046,риплеј оригано,70.00
001047,ФИТ ВИОЛА,130.00
001048,КАРЕЛИА ЦИГАРИ,140.00
001049,КОРОНА ЕКСТРА,160.00
001050,ГУМЕНИ БОНБОНИ 80ГР,80.00
001052,ФАМИЛИА ПАЛОМА,25.00
001053,кворум шорт робусто шејд,650.00
001054,пура класик робусто,650.00
001055,ХОН ТЕ АМО ПУРА,680.00
001056,ПУРА ЧЕРЧИЛ,650.00
001057,ПУРА МАКАРЕНА БИГ РОБУСТО,650.00
001058,ПУРА ШОРТ РОБУСТО,650.00
001059,ЈОГУРТ БУЧЕН КОЗЈАК 1Л,120.00
001060,КРАВЈО КИСЕЛО МЛЕКО БУЧЕН,40.00
001061,"ЈОГУРТ 0,180",35.00
001062,"ЈОГУРТ 0,5 БУЧЕН",75.00
001063,јајца 10,130.00
001064,гума за пливање интекс,0.00
001065,базен детски,350.00
001066,гума за пливање со фигури,600.00
001067,гума за пливање,0.00
001068,мускули за деца 447,0.00
001069,гума за пливање обична,0.00
001070,"фјуз лимон 0,5",65.00
001071,пуканки кикиритки 50гр,50.00
001072,ФЕАРИ ЦРВЕН,140.00
001073,КРОАСАН 65ГР МИНИ,60.00
001074,МИНИ КРОАСАНИ 185ГР,135.00
001075,МАРС СЛАДОЛЕД,100.00
001076,"ленор 1,9",250.00
001077,ПЕЦИВО ГЕВРЕК,45.00
001078,ПЕЦИВО ФРАНЦУСКО ЛЕПЧЕ,85.00
001079,ПЕЦИВО ЗАТВОРЕНА ПИЦА,70.00
001080,ПЕЦИВО ПИНЕРЛА,70.00
001081,ПЕЦИВО КРОФНА,70.00
001082,ЛЕБ ЖИТО ЛУКС,90.00
001083,оме бело,140.00
001084,"СТОБИ РОЗЕ 0,187",160.00
001085,"СТОБИ АНТИГОНА БЕЛО 0,75",450.00
001086,"СТОБИ АНТИГОНА РОЗЕ 0,75",450.00
001087,"МАЈА ВОДА 1,5",50.00
001088,"МАЈА ВОДА 0,5",30.00
001089,ФСТАК 50ГР,75.00
001090,ЧИПСИ ГРЧКА САЛАТА 40ГР,38.00
001091,КЕСИ ОТПАД ФИНО 35Л,140.00
001093,макало,200.00
001094,тук пиперка,50.00
001095,кафе ландеса,95.00
001096,бекс лименка,85.00
001097,тео шампон 2 во 1 минт,80.00
001098,тео течен сапун 800 мл,130.00
001099,орео оригинал 176гр,135.00
001100,аргета кокошкина 95гр,85.00
001101,БАУНТИ 66МЛ,110.00
001102,"вива спарк 1,25",75.00
001103,ХЕЛЛ енергетски пијалок,85.00
001104,батерии,150.00
001105,тенис сет во мрежа,480.00
001106,лед свеќа,120.00
001107,сунѓер вода,285.00
001108,бејк ролс сланина,55.00
001109,МУСЛИ ЧАША,120.00
001110,"роса газирана 1,5",60.00
001111,јегер 1л,1500.00
001112,јајца 6,90.00
001113,ПЕЦИВО СО ВИРШЛА,70.00
001114,кејк бар 7 дејс 32гр,20.00
001115,ЗЛАТИБОРАЦ СЛАНИНА,210.00
001116,ПУФ ШАРЕНИ,10.00
001118,БЛЕК АП 200 МЛ,550.00
001119,БЛЕК АП Ф30,420.00
001120,БЛЕК АП МАСЛО СО ОРЕВ,485.00
001121,ПЕНА ЗА БРИЧЕЊЕ,110.00
001122,БУСТО КРОАСАН 40Г,20.00
001123,ТОБЛЕРОНЕ 35ГР,65.00
001124,РОШЕН ЧОКОЛАДО 40ГР,35.00
001125,чипс ребраст 200,130.00
001126,тутку 36гр,30.00
001127,сладолед сендич макси,95.00
001128,МЕИН ВИРШЛИ СВИНСКИ,70.00
001129,МЕИН ВИРШЛА КАШКАВАЛ,70.00
001130,рибарски сет,0.00
001131,детска количка плажа,750.00
001132,гума лимон голема,0.00
001133,базен за деца,720.00
001134,наочари под вода,350.00
001135,топка за на плажа,180.00
001136,гума твити,0.00
001137,гума со светки,250.00
001138,душек голем шарен bestway,1850.00
001139,кофа мала лопатки,450.00
001140,гумени бонбони,80.00
001141,чоколадно млеко 200,48.00
001142,пица италиана 80гр,60.00
001143,соленки 90гр,45.00
001144,перфекс бришач,155.00
001145,златиборац кулен/чајна 100+ 20,180.00
001146,блек ап 50,760.00
001147,мастер чери,85.00
001148,КАМНИК ПИНОТ,1400.00
001149,гумени бонбони,90.00
001150,бекутан 27,115.00
001151,стрес бал куче лама,180.00
001152,евина 5л,130.00
001153,БОН КИКИРИКИ,80.00
001154,"ФИНЛАНДИА0,05",950.00
001155,ГРЕЈ ГУС 50МЛ,380.00
001156,бифитер џин,175.00
001157,САН ПЕЛЕГРИНО,85.00
001158,ЛЕМОН СОДА / ОРАНЖ СОДА,75.00
001159,кракс,35.00
001160,брауни ети,35.00
001161,тутку 90,40.00
001162,сирење француско,145.00
001163,перфекс котон,185.00
001164,"млеко 0,3",50.00
001165,перутнина,140.00
001166,секојдневни 40 +20,235.00
001167,кафе мио / ландеса картон,130.00
001168,фино 65,80.00
001169,кеси 250,180.00
001170,фишерман,55.00
001171,ПРИНГЛС 40ГР,100.00
001172,ПРИНГЛС 165,205.00
001173,ХР БОНБОНИ 100,100.00
001174,МОАМ,25.00
001175,ОВОШНИ РОЛНИ 25,25.00
001176,КОЦКА КОЛА,5.00
001177,МЕГА ЛУБЕНИЦА,15.00
001178,ПОКЕМОН,25.00
001179,ТОРНАДО ЧОКО И ВАНИЛА 250,110.00
001180,ТОБЛЕРОНЕ ФРУИТ 100,155.00
